initial_FB,initial_BM,id,#FB,#BM,day,exp,FB_type,collagen,plate,change_medium,strain,outlier,medium
100,10000,100_10000,1,7.0,3,33,nmf,1,6,0,balb,0,dmem10
1000,100,1000_100,0,2.0,3,33,nmf,1,6,0,balb,0,dmem10
1000,1000,1000_1000,2,4.0,3,33,nmf,1,6,0,balb,0,dmem10
1000,10000,1000_10000,3,4.0,3,33,nmf,1,6,0,balb,0,dmem10
0,100,0_100,0,1.0,7,30,nmf,1,10,0,balb,0,dmem10
0,100,0_100,0,5.0,7,31,nmf,1,10,0,balb,0,dmem10
0,100,0_100,1,3.0,7,32,nmf,1,10,0,balb,0,dmem10
0,1000,0_1000,4,7.0,7,30,nmf,1,10,0,balb,0,dmem10
0,1000,0_1000,3,6.0,7,31,nmf,1,10,0,balb,0,dmem10
0,1000,0_1000,3,5.0,7,32,nmf,1,10,0,balb,0,dmem10
100,0,100_0,0,0.0,7,30,nmf,1,10,0,balb,0,dmem10
1000,0,1000_0,1,0.0,7,30,nmf,1,10,0,balb,0,dmem10
100,100,100_100,0,6.0,7,30,nmf,1,10,0,balb,0,dmem10
100,100,100_100,0,6.0,7,31,nmf,1,10,0,balb,0,dmem10
100,100,100_100,2,4.0,7,32,nmf,1,10,0,balb,0,dmem10
1000,1000,1000_1000,0,4.0,7,30,nmf,1,10,0,balb,0,dmem10
1000,1000,1000_1000,0,10.0,7,31,nmf,1,10,0,balb,0,dmem10
1000,1000,1000_1000,3,4.0,7,32,nmf,1,10,0,balb,0,dmem10
1000,10000,1000_10000,0,1.0,7,30,nmf,1,10,0,balb,0,dmem10
1000,10000,1000_10000,1,1.0,7,31,nmf,1,10,0,balb,0,dmem10
1000,10000,1000_10000,2,7.0,7,32,nmf,1,10,0,balb,0,dmem10
100,0,100_0,0,0.0,7,33,nmf,1,6,0,balb,0,dmem10
1000,0,1000_0,1,0.0,7,33,nmf,1,6,0,balb,0,dmem10
0,100,0_100,0,4.0,7,33,nmf,1,6,0,balb,0,dmem10
0,1000,0_1000,0,4.0,7,33,nmf,1,6,0,balb,0,dmem10
0,10000,0_10000,0,3.0,7,33,nmf,1,6,0,balb,0,dmem10
100,100,100_100,0,1.0,7,33,nmf,1,6,0,balb,0,dmem10
100,1000,100_1000,0,0.0,7,33,nmf,1,6,0,balb,0,dmem10
100,10000,100_10000,0,4.0,7,33,nmf,1,6,0,balb,0,dmem10
1000,100,1000_100,0,5.0,7,33,nmf,1,6,0,balb,0,dmem10
1000,1000,1000_1000,0,4.0,7,33,nmf,1,6,0,balb,0,dmem10
1000,10000,1000_10000,0,1.0,7,33,nmf,1,6,0,balb,0,dmem10
0,100,0_100,0,100.0,0,30,nmf,1,10,0,balb,0,dmem10
0,100,0_100,0,100.0,0,31,nmf,1,10,0,balb,0,dmem10
0,100,0_100,0,100.0,0,32,nmf,1,10,0,balb,0,dmem10
0,1000,0_1000,0,1000.0,0,30,nmf,1,10,0,balb,0,dmem10
0,1000,0_1000,0,1000.0,0,31,nmf,1,10,0,balb,0,dmem10
0,1000,0_1000,0,1000.0,0,32,nmf,1,10,0,balb,0,dmem10
100,0,100_0,100,0.0,0,30,nmf,1,10,0,balb,0,dmem10
1000,0,1000_0,1000,0.0,0,30,nmf,1,10,0,balb,0,dmem10
100,100,100_100,100,100.0,0,30,nmf,1,10,0,balb,0,dmem10
100,100,100_100,100,100.0,0,31,nmf,1,10,0,balb,0,dmem10
100,100,100_100,100,100.0,0,32,nmf,1,10,0,balb,0,dmem10
1000,1000,1000_1000,1000,1000.0,0,30,nmf,1,10,0,balb,0,dmem10
1000,1000,1000_1000,1000,1000.0,0,31,nmf,1,10,0,balb,0,dmem10
1000,1000,1000_1000,1000,1000.0,0,32,nmf,1,10,0,balb,0,dmem10
1000,10000,1000_10000,1000,10000.0,0,30,nmf,1,10,0,balb,0,dmem10
1000,10000,1000_10000,1000,10000.0,0,31,nmf,1,10,0,balb,0,dmem10
1000,10000,1000_10000,1000,10000.0,0,32,nmf,1,10,0,balb,0,dmem10
100,0,100_0,100,0.0,0,33,nmf,1,6,0,balb,0,dmem10
1000,0,1000_0,1000,0.0,0,33,nmf,1,6,0,balb,0,dmem10
0,100,0_100,0,100.0,0,33,nmf,1,6,0,balb,0,dmem10
0,1000,0_1000,0,1000.0,0,33,nmf,1,6,0,balb,0,dmem10
0,10000,0_10000,0,10000.0,0,33,nmf,1,6,0,balb,0,dmem10
100,100,100_100,100,100.0,0,33,nmf,1,6,0,balb,0,dmem10
100,1000,100_1000,100,1000.0,0,33,nmf,1,6,0,balb,0,dmem10
100,10000,100_10000,100,10000.0,0,33,nmf,1,6,0,balb,0,dmem10
1000,100,1000_100,1000,100.0,0,33,nmf,1,6,0,balb,0,dmem10
1000,1000,1000_1000,1000,1000.0,0,33,nmf,1,6,0,balb,0,dmem10
1000,10000,1000_10000,1000,10000.0,0,33,nmf,1,6,0,balb,0,dmem10
100,100000,100_100000,1,1751.0,3,36,nmf,1,6,0,balb,0,dmem10
300,100000,300_100000,0,1132.0,3,36,nmf,1,6,0,balb,0,dmem10
300,300,300_300,4,17.0,3,36,nmf,1,6,0,balb,0,dmem10
0,100000,0_100000,0,1833.0,3,36,nmf,1,6,0,balb,0,dmem10
0,300,0_300,0,5.0,3,36,nmf,1,6,0,balb,0,dmem10
100,300,100_300,3,13.0,3,36,nmf,1,6,0,balb,0,dmem10
100,100000,100_100000,2,130.0,7,36,nmf,1,6,0,balb,0,dmem10
300,100000,300_100000,0,186.0,7,36,nmf,1,6,0,balb,0,dmem10
300,300,300_300,0,3.0,7,36,nmf,1,6,0,balb,0,dmem10
0,100000,0_100000,0,201.0,7,36,nmf,1,6,0,balb,0,dmem10
0,300,0_300,0,3.0,7,36,nmf,1,6,0,balb,0,dmem10
100,300,100_300,2,5.0,7,36,nmf,1,6,0,balb,0,dmem10
100,0,100_0,12,0.0,3,37,nmf,1,96,0,balb,0,dmem10
100,100,100_100,9,10.0,3,37,nmf,1,96,0,balb,0,dmem10
100,1000,100_1000,8,98.0,3,37,nmf,1,96,0,balb,0,dmem10
100,10000,100_10000,92,926.0,3,37,nmf,1,96,0,balb,0,dmem10
100,100000,100_100000,140,1803.0,3,37,nmf,1,96,0,balb,0,dmem10
1000,0,1000_0,60,0.0,3,37,nmf,1,96,0,balb,0,dmem10
1000,100,1000_100,65,21.0,3,37,nmf,1,96,0,balb,0,dmem10
1000,1000,1000_1000,81,181.0,3,37,nmf,1,96,0,balb,0,dmem10
1000,10000,1000_10000,757,1842.0,3,37,nmf,1,96,0,balb,0,dmem10
1000,100000,1000_100000,1258,2020.0,3,37,nmf,1,96,0,balb,0,dmem10
10000,0,10000_0,945,0.0,3,37,nmf,1,96,0,balb,0,dmem10
10000,100,10000_100,998,66.0,3,37,nmf,1,96,0,balb,0,dmem10
10000,1000,10000_1000,1434,306.0,3,37,nmf,1,96,0,balb,0,dmem10
10000,10000,10000_10000,4189,3596.0,3,37,nmf,1,96,0,balb,0,dmem10
10000,100000,10000_100000,5838,2336.0,3,37,nmf,1,96,0,balb,0,dmem10
100000,0,100000_0,5930,0.0,3,37,nmf,1,96,0,balb,0,dmem10
100000,100,100000_100,5321,105.0,3,37,nmf,1,96,0,balb,0,dmem10
100000,1000,100000_1000,6831,625.0,3,37,nmf,1,96,0,balb,0,dmem10
100000,10000,100000_10000,8897,4343.0,3,37,nmf,1,96,0,balb,0,dmem10
0,100,0_100,0,4.0,3,37,nmf,1,96,0,balb,0,dmem10
0,1000,0_1000,0,8.0,3,37,nmf,1,96,0,balb,0,dmem10
0,10000,0_10000,0,409.0,3,37,nmf,1,96,0,balb,0,dmem10
0,100000,0_100000,0,975.0,3,37,nmf,1,96,0,balb,0,dmem10
100,0,100_0,24,0.0,7,37,nmf,1,96,0,balb,0,dmem10
100,100,100_100,14,22.0,7,37,nmf,1,96,0,balb,0,dmem10
100,1000,100_1000,33,57.0,7,37,nmf,1,96,0,balb,0,dmem10
100,10000,100_10000,192,425.0,7,37,nmf,1,96,0,balb,0,dmem10
100,100000,100_100000,706,367.0,7,37,nmf,1,96,0,balb,0,dmem10
1000,0,1000_0,92,0.0,7,37,nmf,1,96,0,balb,0,dmem10
1000,100,1000_100,205,41.0,7,37,nmf,1,96,0,balb,0,dmem10
1000,1000,1000_1000,551,218.0,7,37,nmf,1,96,0,balb,0,dmem10
1000,10000,1000_10000,3686,2821.0,7,37,nmf,1,96,0,balb,0,dmem10
1000,100000,1000_100000,4144,2698.0,7,37,nmf,1,96,0,balb,0,dmem10
10000,0,10000_0,3107,0.0,7,37,nmf,1,96,0,balb,0,dmem10
10000,100,10000_100,3021,301.0,7,37,nmf,1,96,0,balb,0,dmem10
10000,1000,10000_1000,4085,1785.0,7,37,nmf,1,96,0,balb,0,dmem10
10000,10000,10000_10000,1880,2458.0,7,37,nmf,1,96,0,balb,0,dmem10
10000,100000,10000_100000,3709,3913.0,7,37,nmf,1,96,0,balb,0,dmem10
100000,0,100000_0,4367,0.0,7,37,nmf,1,96,0,balb,0,dmem10
100000,100,100000_100,1922,282.0,7,37,nmf,1,96,0,balb,0,dmem10
100000,1000,100000_1000,3349,1567.0,7,37,nmf,1,96,0,balb,0,dmem10
100000,10000,100000_10000,1325,1853.0,7,37,nmf,1,96,0,balb,0,dmem10
100000,100000,100000_100000,636,1193.0,7,37,nmf,1,96,0,balb,0,dmem10
0,100,0_100,0,0.0,7,37,nmf,1,96,0,balb,0,dmem10
0,1000,0_1000,0,0.0,7,37,nmf,1,96,0,balb,0,dmem10
0,10000,0_10000,0,21.0,7,37,nmf,1,96,0,balb,0,dmem10
0,100000,0_100000,0,51.0,7,37,nmf,1,96,0,balb,0,dmem10
100,0,100_0,23,0.0,3,38,nmf,1,96,0,balb,0,dmem10
100,100,100_100,35,7.0,3,38,nmf,1,96,0,balb,0,dmem10
100,1000,100_1000,61,59.0,3,38,nmf,1,96,0,balb,0,dmem10
100,10000,100_10000,69,233.0,3,38,nmf,1,96,0,balb,0,dmem10
100,100000,100_100000,225,333.0,3,38,nmf,1,96,0,balb,0,dmem10
1000,0,1000_0,422,0.0,3,38,nmf,1,96,0,balb,0,dmem10
1000,100,1000_100,413,24.0,3,38,nmf,1,96,0,balb,0,dmem10
